log_n,witness_value,cumulative_max_witness_value
307.5238819521,1.7670448918,1.7670448918
308.2170291326,1.7672140028,1.7672140028
311.3525233485,1.7672941243,1.7672941243
317.0793710961,1.7674395011,1.7674395011
322.8191640083,1.7676163327,1.7676163327
327.8722200183,1.7676450982,1.7676450982
328.5653671988,1.7678645307,1.7678645307
333.6311217922,1.7679071292,1.7679071292
334.3242689727,1.7681396034,1.7681396034
340.1263873481,1.7682467840,1.7682467840
345.9464702785,1.7683468671,1.7683468671
351.7957950584,1.7683713740,1.7683713740
357.6508669806,1.7684595507,1.7684595507
363.5173350375,1.7685754108,1.7685754108
369.4006574260,1.7686855164,1.7686855164
375.3060192741,1.7687597437,1.7687597437
381.2275976937,1.7688303488,1.7688303488
387.1651338988,1.7688977455,1.7688977455
393.1131688880,1.7689901658,1.7689901658
399.0767482316,1.7690791770,1.7690791770
405.0606845123,1.7691389568,1.7691389568
411.0546459396,1.7692222564,1.7692222564
417.0683610956,1.7692784810,1.7692784810
423.1062320156,1.7692860939,1.7692860939
429.1488648492,1.7693398936,1.7693398936
435.2149729393,1.7693481271,1.7693481271
441.2857106674,1.7694002884,1.7694002884
447.3702100804,1.7694518364,1.7694518364
453.4637798505,1.7695237090,1.7695237090
459.5708027382,1.7695946602,1.7695946602
465.6954861291,1.7696451444,1.7696451444
466.3886333097,1.7696489780,1.7696489780
471.8288841721,1.7697147344,1.7697147344
472.5220313527,1.7697250306,1.7697250306
477.9666112262,1.7698216523,1.7698216523
478.6597584068,1.7698382355,1.7698382355
481.3339070562,1.7698420202,1.7698420202
482.0270542367,1.7698619782,1.7698619782
484.1129404839,1.7699457968,1.7699457968
484.8060876644,1.7699685025,1.7699685025
487.4802363138,1.7699957250,1.7699957250
488.1733834944,1.7700217137,1.7700217137
490.9777882618,1.7700427154,1.7700427154
493.6519369113,1.7700928321,1.7700928321
494.3450840918,1.7701247120,1.7701247120
499.8402010343,1.7701717344,1.7701717344
500.5333482149,1.7702093624,1.7702093624
506.0366451621,1.7702671863,1.7702671863
506.7297923427,1.7703104173,1.7703104173
512.2492512579,1.7703454836,1.7703454836
512.9423984384,1.7703941843,1.7703941843
518.4698414280,1.7704397002,1.7704397002
519.1629886085,1.7704937356,1.7704937356
524.7022894445,1.7705334227,1.7705334227
525.3954366251,1.7705926654,1.7705926654
531.6511866668,1.7706453952,1.7706453952
537.2176209504,1.7706591383,1.7706591383
537.9107681309,1.7707284400,1.7707284400
547.6381746142,1.7707425800,1.7707425800
553.9426234167,1.7707653755,1.7707653755
562.6630839294,1.7707785042,1.7707785042
568.9963635575,1.7707938780,1.7707938780
570.0949758462,1.7707954880,1.7707954880
